date,description,category
2021-04-24,mkn siang,Makanan & Minuman
2021-04-24,bill wifi,Tagihan
2021-04-24,kpi,Makanan & Minuman
2021-04-24,oabt,Kesehatan
2021-04-24,mam malam di rehstoran,Makanan & Minuman
2022-04-02,atm penarikan,Gaji
2022-04-02,penarsikan atm,Gaji
2021-01-09,jnaik uber,Bepergian
2021-01-09,kereta tiket api,Bepergian
2022-12-24,penarikan atm,Gaji
2022-12-24,stock dapur,Lainnya
2022-12-24,bill lsgtriik,Tagihan
2022-12-24,santap malam di retsoran,Makanan & Minuman
2022-12-24,onsultasi dokter,Kesehatan
2022-12-24,ngegym,Kesehatan
2021-08-14,mkan malam di restoran,Makanan & Minuman
2021-08-14,thgn token,Tagihan
2021-08-14,bll internetan,Tagihan
2021-04-01,bensin,Bepergian
2024-06-10,ngegym,Kesehatan
2024-06-10,bayar emi,Tagihan
2024-06-10,sdetoran tetap,Investasi
2023-02-05,byr swea blnn,Sewa
2023-02-05,bayar sewa bulanan,Sewa
2023-02-05,api kereta tiket,Bepergian
2024-10-30,bensin,Bepergian
2024-10-30,blanja bahan maman,Makanan & Minuman
2024-10-30,tetap etoran,Investasi
2023-08-06,bill oken,Tagihan
2023-08-06,belanja blnn,Lainnya
2023-04-13,pembayaran bklnan sewa,Sewa
2023-04-13,bayar emi,Tagihan
2023-04-13,byr seawa blan,Sewa
2023-04-13,dokter konsultasi,Kesehatan
2022-07-19,buku,Pendidikan
2022-07-19,bayar emi,Tagihan
2022-07-19,mkn saing,Makanan & Minuman
2024-05-03,bahan stock dapur mkanan,Makanan & Minuman
2024-12-30,kuliner siang,Makanan & Minuman
2023-05-01,byr sewa blnan,Sewa
2023-05-01,naik buer,Bepergian
2023-05-01,byr emi,Tagihan
2022-10-13,kpi,Makanan & Minuman
2022-10-13,konsultasi dkoter,Kesehatan
2022-10-13,konsultasi dohkter,Kesehatan
2022-04-05,kopi-kopi,Makanan & Minuman
2022-04-05,atm penarikan,Gaji
2021-10-19,setoran tetap,Investasi
2021-10-19,obsat,Kesehatan
2021-10-19,kopi-kopi,Makanan & Minuman
2022-09-05,blnja bahan mjknan,Makanan & Minuman
2021-11-02,setoran tetap,Investasi
2021-11-02,atm penarikan,Gaji
2021-11-02,setoran tetap,Investasi
2021-11-02,tiket kereat api,Bepergian
2021-11-02,naik uber,Bepergian
2023-05-21,bkuu,Pendidikan
2023-05-21,mkn malam di lrestoran,Makanan & Minuman
2023-05-21,krsus daring,Pendidikan
2023-05-21,pembayaran lbnan ewa,Sewa
2023-11-05,ngeygm,Kesehatan
2022-07-22,konsultasi doter,Kesehatan
2022-07-22,bulaan sewa byr,Sewa
2022-07-22,penarikan atm,Gaji
2022-07-22,tiket kereta api,Bepergian
2021-08-03,blnja,Lainnya
2023-10-17,kpi,Makanan & Minuman
2021-06-25,uber naik,Bepergian
2021-06-25,bill toen,Tagihan
2021-06-25,kuliner maalm di restoran,Makanan & Minuman
2023-02-21,santap siang,Makanan & Minuman
2023-02-21,ubr nak,Bepergian
2023-02-21,internet tghn,Tagihan
2022-06-13,sanatp malam restoran di,Makanan & Minuman
2024-12-20,tetap setoran,Investasi
2024-12-20,santap restoran malam di,Makanan & Minuman
2024-12-20,stock dapur,Lainnya
2024-07-15,tghn wijfi,Tagihan
2024-07-15,bensin,Bepergian
2024-07-15,kuliner siang,Makanan & Minuman
2021-06-23,bensin,Bepergian
2021-06-23,siang kulinre,Makanan & Minuman
2021-06-23,bayar emi,Tagihan
2022-01-26,atm penarikan,Gaji
2022-01-26,konsulasi dokter,Kesehatan
2024-10-04,di rsestoran mkn malam,Makanan & Minuman
2024-10-04,blnja,Lainnya
2021-10-28,uber aik,Bepergian
2021-10-28,krusus daring,Pendidikan
2021-10-28,gymmm,Kesehatan
2021-10-28,penarikan atm,Gaji
2021-11-26,bensin,Bepergian
2021-11-26,penarikn atm,Gaji
2021-11-26,gymsmm,Kesehatan
2024-05-21,oat,Kesehatan
2024-05-21,api kereta tiket,Bepergian
2022-07-16,kuliner malm di restoran,Makanan & Minuman
2021-09-23,tiket flm,Hiburan
2022-03-21,ddokter konsultasi,Kesehatan
2022-03-21,pembayaran eswa blnan,Sewa
2022-03-21,kopi-okpi,Makanan & Minuman
2023-04-28,lobat,Kesehatan
2021-09-10,salntap siang,Makanan & Minuman
2021-09-10,belanja blnn,Lainnya
2021-01-12,kopi-kpoi,Makanan & Minuman
2022-12-07,tiket filem,Hiburan
2022-12-07,mkan di malam restoran,Makanan & Minuman
2022-12-07,setohran tetap,Investasi
2024-01-31,emi byr,Tagihan
2024-01-31,dbuku,Pendidikan
2022-07-12,bayar emi,Tagihan
2021-05-18,bayar emi,Tagihan
2021-05-18,konsultasi dkter,Kesehatan
2023-10-18,internet bill,Tagihan
2024-09-20,penarikan atm,Gaji
2024-09-20,gym,Kesehatan
2023-05-15,pelem tiket,Hiburan
2021-05-15,tetap setoran,Investasi
2022-07-15,ngopi,Makanan & Minuman
2022-07-15,atm penarikan,Gaji
2021-05-06,bill intrnet,Tagihan
2021-05-06,token bill,Tagihan
2021-05-06,tetap setoran,Investasi
2021-05-06,paetan tagihan,Tagihan
2021-01-30,bdensin,Bepergian
2024-05-29,naik ubker,Bepergian
2024-05-29,uber naik,Bepergian
2024-05-29,stock dapur bahan maanan,Makanan & Minuman
2022-08-02,tagihan token,Tagihan
2022-08-02,tghn paketan,Tagihan
2022-08-02,bayar emi,Tagihan
2023-04-22,tikjet kreeta api,Bepergian
2024-12-07,obat,Kesehatan
2024-04-11,setokran tetap,Investasi
2021-04-23,gym,Kesehatan
2021-04-23,penarikan atm,Gaji
2021-04-23,setoran tetap,Investasi
2021-04-23,dapur bhan stokc maman,Makanan & Minuman
2021-04-23,gym,Kesehatan
2021-04-23,keangotaan gimnasium,Kesehatan
2021-04-23,tiket pelem,Hiburan
2021-04-23,tetap setoran,Investasi
2021-04-23,baayr emi,Tagihan
2021-04-23,api kereta tiket,Bepergian
2023-10-09,tisket ffilm,Hiburan
2023-10-09,uber naik,Bepergian
2023-10-09,bensin,Bepergian
2023-10-09,setoran teatap,Investasi
2023-10-09,kereta api tiket,Bepergian
2023-10-09,tagihan oken,Tagihan
2023-10-09,penarikan atm,Gaji
2023-10-09,belanja mkanan kebutuhan fbahan,Makanan & Minuman
2024-12-12,tiket filem,Hiburan
2024-12-12,gygmmm,Kesehatan
2024-09-21,kursus darilng,Pendidikan
2021-07-25,byr emi,Tagihan
2021-05-19,tghn intrnet,Tagihan
2021-10-09,obat,Kesehatan
2021-10-09,gymmm,Kesehatan
2021-10-09,gym,Kesehatan
2023-07-17,anik uber,Bepergian
2023-07-17,pemabyaran sewa blnn,Sewa
2023-07-17,bkensin,Bepergian
2022-08-10,bayar sewa bulanan,Sewa
2022-08-10,ngegym,Kesehatan
2022-08-10,gymdmm,Kesehatan
2022-11-05,tagihan lstrk,Tagihan
2022-11-05,daring kursus,Pendidikan
2023-09-11,tghn intrnet,Tagihan
2023-09-11,nfgopi,Makanan & Minuman
2023-09-11,belanja bnn bahan maman,Makanan & Minuman
2023-09-11,restran maam di makan,Makanan & Minuman
2023-09-24,belanja kebutuhan bahan mman,Makanan & Minuman
2024-10-30,belanja bnan,Lainnya
2022-12-09,mkn siang,Makanan & Minuman
2022-12-09,pembayaran swa bulanan,Sewa
2022-12-09,setoran tetap,Investasi
2024-12-01,epnarikan atm,Gaji
2024-08-03,penarikan atm,Gaji
2024-01-10,obat,Kesehatan
2021-05-22,blanja,Lainnya
2021-05-22,mam skiang,Makanan & Minuman
2021-05-22,api kfereta thiket,Bepergian
2021-05-22,thn lstrk,Tagihan
2021-05-22,lnaik uber,Bepergian
2021-05-22,obat,Kesehatan
2021-05-22,buuk,Pendidikan
2023-06-28,konsumsi malam di resoran,Makanan & Minuman
2023-06-28,tket kereta api,Bepergian
2023-06-28,belanja bahan maman,Makanan & Minuman
2023-06-28,setoran tejtap,Investasi
2023-06-28,belanja kebutuhan,Lainnya
2024-10-26,naik uebr,Bepergian
2024-10-26,byr sewa blnan,Sewa
2022-02-13,kenggotaan gimnasium,Kesehatan
2022-02-13,ngopi,Makanan & Minuman
2022-02-13,estoran tetap,Investasi
2022-11-17,tiket jkereta api,Bepergian
2022-11-17,setorna tetap,Investasi
2023-12-21,pembayaran emi,Tagihan
2023-12-21,obat,Kesehatan
2023-12-21,boat,Kesehatan
2023-12-21,gymmm,Kesehatan
2021-01-11,tagihan paektan,Tagihan
2021-01-11,blanja mkann bahan,Makanan & Minuman
2023-07-30,bayar emi,Tagihan
2023-07-30,tiket eplem,Hiburan
2023-07-30,obat,Kesehatan
2023-07-30,kursus darifng,Pendidikan
2023-07-30,tiket keraeta api,Bepergian
2023-07-30,bleanja kebutuhan bahan maman,Makanan & Minuman
2022-05-31,tiket kereta api,Bepergian
2022-05-31,emi byr,Tagihan
2022-05-31,pembayaran sewa blnn,Sewa
2023-08-28,belahnja blnan,Lainnya
2023-08-28,blana,Lainnya
2023-10-30,kopi-kopi,Makanan & Minuman
2023-10-30,belanja kebutuhan ahan makanan,Makanan & Minuman
2023-10-30,buku,Pendidikan
2023-10-30,ngopi,Makanan & Minuman
2023-10-30,konsultasi dokter,Kesehatan
2023-10-30,pembayaran seaw bulann,Sewa
2023-10-30,bensain,Bepergian
2023-10-30,bill listrik,Tagihan
2023-10-30,kursus fdaring,Pendidikan
2023-10-30,mkan siang,Makanan & Minuman
2021-03-26,blnja,Lainnya
2021-04-06,blnja bahan makanan,Makanan & Minuman
2021-04-06,emi bayar,Tagihan
2021-04-06,filem tiket,Hiburan
2021-04-06,blnja,Lainnya
2021-04-06,belanja kebutuhan,Lainnya
2022-01-21,bkuu,Pendidikan
2022-11-13,gmymm,Kesehatan
2021-05-26,stock dapur bahan makanan,Makanan & Minuman
2021-05-26,obat,Kesehatan
2021-05-26,byr emi,Tagihan
2023-05-10,naik uber,Bepergian
2023-05-10,emi byr,Tagihan
2023-05-10,bensin,Bepergian
2023-05-10,tiket filem,Hiburan
2022-10-11,setorna tetap,Investasi
2024-11-17,gbensin,Bepergian
2024-11-26,pearikan atm,Gaji
2022-03-07,gymmm,Kesehatan
2022-03-07,mkn malam di restoran,Makanan & Minuman
2023-12-14,belanja bahan maman,Makanan & Minuman
2023-12-14,santap siang,Makanan & Minuman
2023-12-14,tghn paketan,Tagihan
2023-12-14,filem tiket,Hiburan
2023-12-14,gthn intrnet,Tagihan
2023-12-14,tetap setoran,Investasi
2023-12-14,gym,Kesehatan
2023-03-15,penarikan atm,Gaji
2023-03-15,bat,Kesehatan
2023-06-28,naki uber,Bepergian
2023-06-28,dapur tock,Lainnya
2021-03-04,byr sewa blnan,Sewa
2021-03-04,storan tetap,Investasi
2021-08-28,obat,Kesehatan
2023-02-15,bill wii,Tagihan
2023-09-23,tiket kertea api,Bepergian
2023-09-23,bayar emi,Tagihan
2023-05-10,kursus darign,Pendidikan
2023-05-10,blann byr sewa,Sewa
2023-05-10,tiket filem,Hiburan
2023-05-10,belanja blnan,Lainnya
2024-01-23,kursus dlaring,Pendidikan
2024-01-23,okpi,Makanan & Minuman
2024-01-23,kopi-kopi,Makanan & Minuman
2023-08-02,blanja bahan mkanan,Makanan & Minuman
2024-01-06,tghn internetan,Tagihan
2024-01-06,obat,Kesehatan
2024-01-06,ngegym,Kesehatan
2024-01-06,koip-kopi,Makanan & Minuman
2024-01-06,gymmm,Kesehatan
2024-12-23,pembayaran sewa blnn,Sewa
2022-07-30,setorfan teap,Investasi
2022-07-30,setoran tetap,Investasi
2023-04-11,bensin,Bepergian
2023-04-11,tiet kereta api,Bepergian
2023-04-11,besin,Bepergian
2023-04-11,gym,Kesehatan
2023-04-11,buku,Pendidikan
2023-04-11,belanja blnan,Lainnya
2021-06-03,konsultasi dokter,Kesehatan
2024-12-20,lstriik tghn,Tagihan
2024-12-20,belanja kebutuhan,Lainnya
2023-10-07,kan siang,Makanan & Minuman
2023-04-19,pembyaaran emi,Tagihan
2023-04-19,strk tagihan,Tagihan
2023-04-19,kusrus daring,Pendidikan
2022-07-01,konsultasi okter,Kesehatan
2022-07-01,bayar ksewa blnn,Sewa
2022-07-01,tghn intrnet,Tagihan
2022-07-01,mkn saing,Makanan & Minuman
2023-08-04,bayar emi,Tagihan
2023-02-18,oat,Kesehatan
2023-02-18,kbayar sewa blnn,Sewa
2022-03-03,belaja,Lainnya
2022-03-03,oat,Kesehatan
2022-03-03,tiket kereta api,Bepergian
2021-11-04,byr sewa blnna,Sewa
2021-11-04,keangggotaan gimnasium,Kesehatan
2021-11-04,daring kursus,Pendidikan
2021-11-04,ngegym,Kesehatan
2023-01-25,kopi-kopi,Makanan & Minuman
2023-01-25,hkonsultasi doter,Kesehatan
2024-01-12,santap malam di restoran,Makanan & Minuman
2023-01-28,atm penarikan,Gaji
2022-05-07,keanggotaan ginasium,Kesehatan
2022-05-07,naik uber,Bepergian
2023-04-13,stock dapur,Lainnya
2023-04-13,mam siang,Makanan & Minuman
2023-04-13,byr sewa bulanan,Sewa
2023-04-13,tiket fdilem,Hiburan
2023-04-13,tagihan lstrk,Tagihan
2023-04-13,atm penarikan,Gaji
2023-04-13,atm penarikan,Gaji
2022-04-05,tetap setoran,Investasi
2022-04-05,konsultsi dokter,Kesehatan
2022-04-05,daring kursus,Pendidikan
2021-02-08,dokter konsultasi,Kesehatan
2021-02-08,khonsultasi dokter,Kesehatan
2021-11-21,kopi-kopi,Makanan & Minuman
2021-11-21,gym,Kesehatan
2021-11-21,makan malam di restorkan,Makanan & Minuman
2021-11-21,tghn internet,Tagihan
2021-11-21,konsultais dokter,Kesehatan
2021-11-21,byr emi,Tagihan
2023-06-20,kursus darihng,Pendidikan
2023-06-20,blanan sewa byr,Sewa
2023-06-20,belanja kebutuhan,Lainnya
2023-06-20,ukrsus darig,Pendidikan
2023-06-20,pelem tiekt,Hiburan
2023-06-20,gymmm,Kesehatan
2021-04-22,kpi,Makanan & Minuman
2024-02-12,agihan intrnet,Tagihan
2021-02-08,tiket pelem,Hiburan
2021-02-08,penagrikan atm,Gaji
2021-02-08,makn siang,Makanan & Minuman
2023-06-23,malam mkn di restoran,Makanan & Minuman
2024-01-12,mam siagn,Makanan & Minuman
2024-01-12,belanja blnn,Lainnya
2024-07-08,tghn intrndet,Tagihan
2022-12-27,emi bayar,Tagihan
2022-04-16,ftiket kereta api,Bepergian
2022-04-16,tiket filem,Hiburan
2022-07-29,tghn intrnet,Tagihan
2022-11-19,naik uer,Bepergian
2022-11-19,belanja mknan bullanan bahan,Makanan & Minuman
2022-05-01,naki uber,Bepergian
2022-05-01,blanja,Lainnya
2022-05-01,tghn spaketan,Tagihan
2023-07-24,obat,Kesehatan
2023-07-24,gymmm,Kesehatan
2023-07-24,krusus daring,Pendidikan
2023-05-20,malam mam di rstoran,Makanan & Minuman
2023-05-20,byr sewa blnan,Sewa
2023-05-20,blnja bahan makanan,Makanan & Minuman
2023-01-15,klursus daring,Pendidikan
2023-12-14,pembaayran blnan sewa,Sewa
2023-08-10,obat,Kesehatan
2024-03-01,maksi,Makanan & Minuman
2024-03-01,ensin,Bepergian
2024-03-01,bfensin,Bepergian
2022-01-20,gym,Kesehatan
2022-01-20,bensjin,Bepergian
2024-03-02,uber naik,Bepergian
2024-03-02,tiket filem,Hiburan
2021-09-22,atm peanrikan,Gaji
2024-12-10,bkuu,Pendidikan
2024-12-10,bduku,Pendidikan
2024-12-10,restoran di maalm mkan,Makanan & Minuman
2024-12-10,bku,Pendidikan
2024-04-20,kursus daring,Pendidikan
2021-10-28,penarikan atm,Gaji
2024-12-02,emi pembaaran,Tagihan
2024-12-02,obat,Kesehatan
2024-12-02,obdat,Kesehatan
2022-02-22,belaja,Lainnya
2021-02-23,lbnja,Lainnya
2021-02-23,bensin,Bepergian
2021-12-20,tghn lstrk,Tagihan
2021-12-20,belanja bahan amkanan,Makanan & Minuman
2021-12-20,mam malm di restoran,Makanan & Minuman
2021-12-20,anik uber,Bepergian
2021-12-20,byr emi,Tagihan
2021-12-20,blnja bahan makanan,Makanan & Minuman
2021-12-01,kopi-kopi,Makanan & Minuman
2024-09-17,kuliner malam di restoran,Makanan & Minuman
2024-09-17,kuliner sing,Makanan & Minuman
2024-09-17,pembayaran shewa blnn,Sewa
2024-09-17,tagihan token,Tagihan
2024-09-17,siang mkn,Makanan & Minuman
2024-09-17,benin,Bepergian
2024-09-17,kpi,Makanan & Minuman
2021-04-04,doakter konsultasi,Kesehatan
2023-04-22,bill ltrk,Tagihan
2023-04-22,krsus daring,Pendidikan
2024-07-15,kopi-kopi,Makanan & Minuman
2024-07-15,konsultai dokter,Kesehatan
2024-07-15,tetap setoran,Investasi
2023-10-14,kursus daring,Pendidikan
2023-10-14,lbill lstriik,Tagihan
2023-10-14,gym,Kesehatan
2021-03-18,gym,Kesehatan
2021-03-18,gymmm,Kesehatan
2021-03-18,pembayaran sewa buanan,Sewa
2021-03-18,taghian token,Tagihan
2024-11-01,bayar emi,Tagihan
2024-11-01,byr ssewa blnn,Sewa
2024-11-01,tetap setoran,Investasi
2024-11-01,konsultasi dkter,Kesehatan
2024-09-10,belanja kebutuhan bahna makaan,Makanan & Minuman
2024-01-01,mlaam di rejstoran santap,Makanan & Minuman
2023-10-17,tgshn paketgan,Tagihan
2023-10-17,gymmm,Kesehatan
2021-09-09,tiket api kereta,Bepergian
2023-05-15,bjlanja,Lainnya
2023-05-15,tiket kereta api,Bepergian
2023-05-15,kurssu daring,Pendidikan
2023-05-15,gym,Kesehatan
2023-01-31,seotran tetap,Investasi
2024-05-27,mam siang,Makanan & Minuman
2024-11-14,kurssu daring,Pendidikan
2024-11-14,gymmm,Kesehatan
2024-11-14,tagihan intedrnetan,Tagihan
2024-11-14,tagihan wifi,Tagihan
2024-04-19,tikt kereta api,Bepergian
2024-04-19,blanja,Lainnya
2024-04-19,emi pembayaran,Tagihan
2024-04-19,stock dapur,Lainnya
2021-08-11,buku,Pendidikan
2021-08-11,kpi,Makanan & Minuman
2021-08-07,lstrk tagihan,Tagihan
2021-08-07,keanggothaan gminasium,Kesehatan
2024-01-03,tagian inet,Tagihan
2022-05-11,bayar emi,Tagihan
2022-05-11,swea bln pembayarn,Sewa
2022-05-11,konsultasi dotker,Kesehatan
2023-03-17,konsultasi okter,Kesehatan
2023-03-17,gym,Kesehatan
2023-03-17,mkn malam di restoran,Makanan & Minuman
2023-03-17,belanja bulanan bahan maman,Makanan & Minuman
2024-03-12,bensn,Bepergian
2024-03-12,ubku,Pendidikan
2024-03-12,boat,Kesehatan
2024-03-12,setoran tetap,Investasi
2021-11-04,gym,Kesehatan
2021-11-04,bill internetan,Tagihan
2021-11-04,obdat,Kesehatan
2021-11-04,santap sang,Makanan & Minuman
2023-07-14,maksi,Makanan & Minuman
2023-07-14,penaikan atm,Gaji
2023-07-14,byr sewa bllnan,Sewa
2023-07-14,kuliner siang,Makanan & Minuman
2023-07-14,film tjiket,Hiburan
2022-02-09,kurus daring,Pendidikan
2022-02-09,konsultai dokter,Kesehatan
2022-02-09,kpi,Makanan & Minuman
2022-02-09,listrik tagihan,Tagihan
2024-01-04,konsultasi dokter,Kesehatan
2024-01-04,tket filem,Hiburan
2024-01-04,fkursus draing,Pendidikan
2024-01-04,belanlja bslnn,Lainnya
2022-01-31,pelem tiket,Hiburan
2022-01-31,mam malam di restoran,Makanan & Minuman
2022-01-31,tiket pelem,Hiburan
2022-01-31,kopi-kopi,Makanan & Minuman
2022-01-31,bdill lisrik,Tagihan
2021-06-21,dokter konsultasi,Kesehatan
2023-07-19,penarikan atm,Gaji
2021-03-01,buku,Pendidikan
2021-03-01,tket filem,Hiburan
2021-03-01,bulanan abhan kmkanan belanja,Makanan & Minuman
2021-03-01,obat,Kesehatan
2024-09-16,byr sewa bulanan,Sewa
2021-03-26,tiket kereta api,Bepergian
2021-03-26,gym,Kesehatan
2021-03-26,bil listrik,Tagihan
2024-10-01,konsultasi dokter,Kesehatan
2023-06-15,santap siang,Makanan & Minuman
2023-06-15,bleanja kebutuhan kbahan mknan,Makanan & Minuman
2023-06-15,gym,Kesehatan
2022-09-17,kopi-kopi,Makanan & Minuman
2022-09-17,obat,Kesehatan
2022-09-17,ssetoran tetap,Investasi
2022-09-17,bayar emi,Tagihan
2022-09-17,byr sdewa buanan,Sewa
2022-09-17,blja,Lainnya
2023-02-06,blja,Lainnya
2023-02-06,tiket filem,Hiburan
2023-02-06,byr sewa blnna,Sewa
2023-02-06,tghn paketan,Tagihan
2023-08-21,pembayaran eswa blnn,Sewa
2023-08-21,blnja bahan mknaan,Makanan & Minuman
2023-08-21,tetap setoran,Investasi
2023-08-21,blil wifi,Tagihan
2023-08-21,penarikan atm,Gaji
2023-08-21,kereta api tiket,Bepergian
2023-08-21,mkn sihang,Makanan & Minuman
2023-08-21,bensni,Bepergian
2023-08-21,setoran tsetap,Investasi
2021-09-06,internetan tagihan,Tagihan
2021-09-06,tghn indternet,Tagihan
2021-09-06,bayar emi,Tagihan
2021-09-06,bill internet,Tagihan
2021-09-06,benisn,Bepergian
2021-09-06,buku,Pendidikan
2021-11-21,mkn siang,Makanan & Minuman
2021-11-21,tghn internetjan,Tagihan
2021-11-21,setoran tetap,Investasi
2021-11-21,keanggotana gimnasium,Kesehatan
2021-11-21,kurss daring,Pendidikan
2021-11-21,benin,Bepergian
2021-11-21,belanja kebtuuhan,Lainnya
2022-07-27,kosnultasi dokter,Kesehatan
2022-07-27,buku,Pendidikan
2022-07-27,flm tiket,Hiburan
2024-07-31,bfelanja,Lainnya
2021-07-12,lstrk tghn,Tagihan
2021-07-12,kursus daring,Pendidikan
2021-07-12,malam mam restoran di,Makanan & Minuman
2021-07-12,bensin,Bepergian
2021-07-12,mam malam di restoran,Makanan & Minuman
2021-07-31,tiket pelem,Hiburan
2024-09-23,buku,Pendidikan
2022-05-05,gymmm,Kesehatan
2024-05-11,sewa pembayaran bulanan,Sewa
2022-12-13,penarikan atm,Gaji
2023-02-05,di makan restoran malam,Makanan & Minuman
2023-02-05,kursus dafring,Pendidikan
2023-02-05,abill lgstrk,Tagihan
2024-07-01,tghn niternet,Tagihan
2022-12-09,bill intrnet,Tagihan
2022-12-09,ngopi,Makanan & Minuman
2022-12-09,oabt,Kesehatan
2022-12-09,pelgem taiket,Hiburan
2022-12-09,emi pembayaran,Tagihan
2024-08-22,gym,Kesehatan
2021-08-13,mam malam di restoran,Makanan & Minuman
2023-05-14,emi jbayar,Tagihan
2023-12-17,bat,Kesehatan
2021-09-01,stock dapr,Lainnya
2021-01-29,daring kursus,Pendidikan
2021-01-29,tikaet kereta api,Bepergian
2021-01-29,tiket kkereta api,Bepergian
2021-01-29,itket film,Hiburan
2024-12-09,biall intrnet,Tagihan
2024-12-09,kebutuhan maman belanja bahna,Makanan & Minuman
2024-12-09,api tiket kereta,Bepergian
2024-12-09,kpi,Makanan & Minuman
2021-05-12,konsmusi malam di restoran,Makanan & Minuman
2021-05-12,kgursus daring,Pendidikan
2021-05-12,uber nak,Bepergian
2022-08-02,tagihan ltsriik,Tagihan
2023-05-28,snaik uber,Bepergian
2022-05-20,tiket pelem,Hiburan
2022-05-20,obta,Kesehatan
2022-05-20,filem tiket,Hiburan
2022-08-15,kereta tikaet api,Bepergian
2022-08-15,bahan dapur tock mkann,Makanan & Minuman
2022-08-15,byr seaw bulanan,Sewa
2022-08-15,benlsin,Bepergian
2022-08-15,retoran di malam santap,Makanan & Minuman
2022-07-01,kursus dring,Pendidikan
2021-01-19,belanja kebutuhan,Lainnya
2021-01-19,siang mam,Makanan & Minuman
2021-01-19,ukrsus daring,Pendidikan
2021-01-19,tagihan inet,Tagihan
2023-04-25,mkn malam di restoran,Makanan & Minuman
2023-04-25,ber naki,Bepergian
2023-04-25,tiket pelem,Hiburan
2021-04-19,mkan malam di restoran,Makanan & Minuman
2023-08-06,restoran sadntap malam di,Makanan & Minuman
2024-03-13,gym,Kesehatan
2024-03-13,wifi htghn,Tagihan
2024-03-13,ill wifi,Tagihan
2024-03-13,tagihan internetan,Tagihan
2024-03-13,belanja kebutuhan bahan mknan,Makanan & Minuman
